일자,기온,풍속(m/s),풍향(16방위),습도(%),증기압(hPa),현지기압(hPa),일조(hr),일사(MJ/m2),지면온도(°C),오 존,이산화질소,일산화탄소,아황산가스,PM10,PM2.5
2020-01-07-08,5.6,3.8,70,95,8.6,1005.9,0,0,4.4,0.001,0.048,0.7,0.003,17,11
2020-01-07-09,5.8,3.6,90,94,8.7,1005.9,0,0.01,4.7,0.001,0.038,0.7,0.003,17,13
2020-01-07-10,6,4,70,94,8.8,1005.3,0,0.06,4.9,0.001,0.045,0.9,0.004,17,12
2020-01-07-11,6.3,4.1,70,93,8.8,1004.3,0,0.15,5.6,0.002,0.04,0.8,0.004,19,11
2020-01-07-12,6.4,4.3,70,94,9,1002.8,0,0.17,5.9,0.002,0.042,0.9,0.003,20,13
2020-01-07-13,6.6,2.9,70,95,9.2,1001.7,0,0.12,6.1,0.002,0.044,0.8,0.003,19,14
2020-01-07-14,6.7,3.6,70,95,9.3,999.8,0,0.11,6.2,0.002,0.037,0.8,0.003,16,12
2020-01-07-15,6.5,4,70,95,9.2,999,0,0.08,6,0.002,0.046,0.8,0.003,19,18
2020-01-07-16,6.7,4.8,70,96,9.4,997.6,0,0.04,5.9,0.002,0.04,0.9,0.003,19,15
2020-01-07-17,6.8,5,70,96,9.5,996.6,0,0.01,5.9,0.002,0.04,0.7,0.003,13,9
2020-01-07-18,7,5.3,70,96,9.6,995.1,0,0,5.9,0.002,0.041,0.7,0.003,13,10
2020-01-07-19,7.1,5.6,70,95,9.5,993.6,,,6,0.004,0.03,0.7,0.003,14,12
2020-01-07-20,7,5.3,70,95,9.5,991.7,,,6.1,0.005,0.034,0.6,0.003,13,9
2020-01-07-21,7.2,4.8,70,95,9.6,990.6,,,6.3,0.005,0.031,0.6,0.003,13,9
2020-01-07-22,7.3,3.9,90,96,9.7,989.9,,,6.3,0.006,0.03,0.6,0.003,10,9
2020-01-07-23,7.5,4.2,70,95,9.8,988.7,,,6.4,0.007,0.029,0.5,0.003,7,4
2020-01-08-00,7.7,0.7,90,96,10,987.5,,,6.5,0.007,0.029,0.5,0.003,10,6
2020-01-08-01,8.7,5,230,96,10.7,987.5,,,7.2,0.005,0.031,0.6,0.003,8,5
2020-01-08-02,6.5,5.8,230,95,9.2,988.4,,,6.2,0.017,0.013,0.4,0.003,9,6
2020-01-08-03,5,5.3,250,95,8.2,989.9,,,5.3,0.025,0.01,0.3,0.003,8,9
2020-01-08-04,3.1,3.8,250,95,7.2,991.7,,,4.2,0.026,0.009,0.4,0.003,9,7
2020-01-08-05,2.4,4.8,270,95,6.9,993.5,,,3.5,0.026,0.009,0.4,0.003,9,9
2020-01-08-06,1.8,6,270,95,6.6,995.6,,,2.8,0.022,0.013,0.4,0.003,10,7
2020-01-08-07,1.5,3.2,290,95,6.4,997,,,2.3,0.016,0.017,0.4,0.003,9,9
2020-01-08-08,1.6,2.5,290,95,6.5,999.2,0,0,2.6,0.016,0.02,0.4,0.003,5,5
2020-01-08-09,2.2,1.8,290,95,6.8,1001.3,0,0.06,3.3,0.012,0.018,0.5,0.003,7,6
2020-01-08-10,2.7,2.8,290,94,7,1003.1,0,0.17,3.9,0.006,0.026,0.7,0.003,11,8
2020-01-08-11,3.1,2.5,270,91,6.9,1004,0,0.23,4.6,0.006,0.027,0.6,0.003,22,15
2020-01-08-12,3.2,3.3,270,87,6.7,1004.8,0,0.28,5.1,0.007,0.024,0.8,0.003,29,23
2020-01-08-13,3.4,2.7,290,85,6.6,1005.5,0,0.3,5.4,0.009,0.025,0.9,0.003,46,34
2020-01-08-14,3.6,2.2,270,83,6.5,1005.7,0,0.3,5.6,0.013,0.021,0.7,0.003,49,36
2020-01-08-15,3.9,1.9,270,80,6.4,1005.8,0,0.31,5.8,0.013,0.022,0.7,0.003,48,35
2020-01-08-16,3.9,1.8,270,80,6.4,1006.5,0,0.15,5.1,0.013,0.022,0.7,0.003,40,29
2020-01-08-17,3.9,2.2,290,81,6.5,1007.5,0,0.04,4.3,0.009,0.026,0.7,0.003,42,28
2020-01-08-18,3.4,3.7,270,83,6.4,1008.2,0,0,3.8,0.007,0.033,0.8,0.003,48,33
2020-01-08-19,2.3,4,270,83,6,1009,,,3.1,0.014,0.027,0.8,0.003,73,51
2020-01-08-20,1.5,3.3,270,83,5.7,1010.1,,,2.6,0.015,0.025,0.7,0.003,71,50
2020-01-08-21,0.2,4.9,270,81,5,1011.2,,,1.7,0.022,0.018,0.7,0.003,71,47
2020-01-08-22,0,3,270,82,5,1011.7,,,1.5,0.024,0.016,0.6,0.004,71,47
2020-01-08-23,-0.3,3.1,290,75,4.5,1011.9,,,1.1,0.026,0.015,0.6,0.003,68,45
2020-01-09-00,-0.4,3.9,270,73,4.3,1012.3,,,0.7,0.031,0.012,0.6,0.003,64,43
2020-01-09-01,-0.5,2.1,290,70,4.1,1012.3,,,0.5,0.029,0.014,0.6,0.003,54,40
2020-01-09-02,-0.5,1,270,70,4.1,1012.3,,,0.5,0.031,0.011,0.6,0.003,57,41
2020-01-09-03,-0.6,2.2,270,70,4.1,1012.5,,,0.4,0.031,0.01,0.5,0.004,59,42
2020-01-09-04,-0.8,1.4,290,73,4.2,1012.4,,,0.1,0.031,0.01,0.5,0.004,57,42
2020-01-09-05,-0.9,2.4,320,72,4.1,1012.4,,,0.1,0.03,0.009,0.5,0.003,60,43
2020-01-09-06,-1.8,1.4,320,70,3.8,1012.7,,,0,0.028,0.009,0.5,0.004,59,45
2020-01-09-07,-2.3,1.2,320,74,3.8,1013.3,,,-0.3,0.023,0.013,0.5,0.003,61,46
2020-01-09-08,-2.8,2.5,290,75,3.7,1013.3,0,0,-0.6,0.017,0.019,0.6,0.003,61,45
2020-01-09-09,-2.7,1.9,290,73,3.7,1013.5,0.6,0.19,-0.5,0.012,0.023,0.6,0.003,59,44
2020-01-09-10,-2.1,2.5,320,68,3.6,1014.4,1,0.52,-0.2,0.015,0.022,0.6,0.004,59,43
2020-01-09-11,-1.6,3.3,290,63,3.4,1014.4,1,0.91,-0.1,0.022,0.015,0.6,0.004,61,43
2020-01-09-12,-0.7,3.3,320,57,3.3,1013.5,1,1.54,0.3,0.025,0.017,0.6,0.004,60,41
2020-01-09-13,0.1,3.6,320,51,3.1,1012.7,1,1.75,4,0.03,0.013,0.5,0.005,57,38
2020-01-09-14,1.1,3.3,290,51,3.4,1012.1,1,1.66,6.2,0.031,0.014,0.5,0.004,52,38
2020-01-09-15,1.7,2.6,290,49,3.4,1012.2,1,1.33,5.9,0.031,0.015,0.5,0.004,51,38
2020-01-09-16,1.6,2.2,320,49,3.4,1012.5,1,0.88,4.1,0.029,0.021,0.6,0.004,51,38
2020-01-09-17,0.6,3.1,290,55,3.5,1012.9,1,0.35,1.4,0.023,0.023,0.6,0.004,58,39
2020-01-09-18,-0.4,2.6,290,60,3.6,1013.3,0.1,0.01,0.4,0.019,0.027,0.6,0.003,58,40
2020-01-09-19,-0.8,3.4,270,61,3.5,1013.9,,,0,0.016,0.028,0.6,0.003,53,40
2020-01-09-20,-1.2,2.4,270,62,3.5,1014.1,,,-0.4,0.016,0.026,0.6,0.003,52,38
2020-01-09-21,-1.7,0.5,320,67,3.6,1014.5,,,-0.7,0.02,0.023,0.6,0.003,51,36
2020-01-09-22,-2.3,0.6,340,67,3.5,1014.7,,,-0.9,0.023,0.017,0.6,0.003,52,40
2020-01-09-23,-2.6,0.6,320,72,3.6,1014.8,,,-1,0.011,0.028,0.6,0.003,55,43
2020-01-10-00,-3.1,1.1,270,76,3.7,1014.6,,,-1.2,0.01,0.027,0.6,0.003,57,41
2020-01-10-01,-3.2,0.6,320,78,3.8,1014.5,,,-1.5,0.013,0.022,0.6,0.003,57,44
2020-01-10-02,-3.6,0.9,70,77,3.6,1014.7,,,-1.8,0.014,0.02,0.6,0.003,58,46
2020-01-10-03,-3.5,0.6,20,78,3.7,1015,,,-1.9,0.012,0.021,0.7,0.003,65,47
2020-01-10-04,-3.9,1.1,50,83,3.8,1014.6,,,-2.2,0.011,0.019,0.7,0.003,66,48
2020-01-10-05,-4.3,2.1,90,77,3.4,1014.1,,,-2.3,0.008,0.024,0.8,0.003,72,51
2020-01-10-06,-4.3,1.4,50,80,3.6,1013.7,,,-2.1,0.007,0.032,0.8,0.003,78,56
2020-01-10-07,-4.1,0,0,77,3.5,1014.3,,,-2.1,0.003,0.03,0.8,0.003,93,61
2020-01-10-08,-3.8,1.3,20,79,3.6,1014.2,0,0,-2.1,0.002,0.038,0.9,0.003,89,60
2020-01-10-09,-3,0,0,74,3.6,1014.8,0,0.17,-1,0.002,0.043,1,0.004,94,62
2020-01-10-10,-1.8,0.9,270,68,3.6,1015.2,0.4,0.57,-0.3,0.004,0.038,1,0.004,84,62
2020-01-10-11,0.1,1.5,270,62,3.8,1014.8,1,1.11,-0.1,0.005,0.039,1.1,0.005,89,59
2020-01-10-12,1.8,0.8,200,55,3.8,1013.2,1,1.49,0.4,0.005,0.048,1.2,0.005,98,65
2020-01-10-13,2,3.2,320,53,3.8,1012.6,1,1.64,1.5,0.005,0.049,1.1,0.005,109,67
2020-01-10-14,3,2.2,290,44,3.3,1011.6,1,1.66,3.5,0.011,0.041,0.9,0.005,96,65
2020-01-10-15,3.8,2.9,270,43,3.5,1011.7,1,1.38,4.3,0.014,0.04,0.8,0.004,87,57
2020-01-10-16,3.7,2.2,320,41,3.3,1011.5,1,0.94,3.1,0.012,0.039,0.8,0.004,74,50
2020-01-10-17,2.7,2.8,290,40,3,1011.9,1,0.41,0.5,0.017,0.032,0.7,0.004,76,51
2020-01-10-18,1.8,2.6,290,45,3.1,1012.2,0.1,0.02,0.2,0.022,0.029,0.6,0.003,59,40
2020-01-10-19,1,2.8,290,59,3.9,1012.1,,,0,0.017,0.032,0.6,0.004,58,38
2020-01-10-20,0.5,1.6,290,63,4,1011.8,,,-0.3,0.009,0.038,0.7,0.004,65,43
2020-01-10-21,-0.2,1.4,320,62,3.7,1011.7,,,-0.5,0.007,0.037,0.7,0.003,59,40
2020-01-10-22,-0.3,2.2,290,62,3.7,1012,,,-0.7,0.011,0.03,0.6,0.003,57,39
